status,xD,xB,F_kmol_h,z,q,f_R,Rmin,R_op,N_total,N_acima,N_abaixo,N_real_sem_aux,N_real_total,E_overall,muF_cP,alpha_avg,D_kmol_h,B_kmol_h,L_rect_kmol_h,V_rect_kmol_h,L_strip_kmol_h,V_strip_kmol_h,T_bolha_topo_C,T_orvalho_topo_C,y_top_mais_vol,T_bolha_fundo_C,T_orvalho_fundo_C,y_fundo_mais_vol,Q_cond_kJh,P_cond_kW,dh_cond_kJ_kmol,Q_reb_kJh,P_reb_kW,dh_reb_kJ_kmol
ok,0.97,0.03,100,0.5,1,1.05,0.3541964996416231,0.37190632462370427,12,5,7,23,24,0.49817526689681096,0.17320508075688773,5.486923765216971,50,50,18.595316231185212,68.59531623118521,118.59531623118521,68.59531623118521,69.77774111631143,69.77774111631143,0.9954455470003275,122.76195194511783,122.76195194511783,0.12522551196431136,-2179266.403613718,-605.3517787815885,-31769.90096917094,2296929.5974901617,638.0359993028227,33485.22499333443
ok,0.97,0.03,100,0.5,1,1.1,0.3541964996416231,0.38961614960578544,11,4,7,21,22,0.49817526689681096,0.17320508075688773,5.486923765216971,50,50,19.480807480289272,69.48080748028927,119.48080748028927,69.48080748028927,69.77774111631143,69.77774111631143,0.9954455470003275,122.76195194511783,122.76195194511783,0.12522551196431136,-2207398.372906822,-613.1662146963394,-31769.90096917094,2326580.47119604,646.2723531100111,33485.22499333443
ok,0.97,0.03,100,0.5,1,1.15,0.3541964996416231,0.4073259745878665,10,4,6,19,20,0.49817526689681096,0.17320508075688773,5.486923765216971,50,50,20.366298729393325,70.36629872939332,120.36629872939332,70.36629872939332,69.77774111631143,69.77774111631143,0.9954455470003275,122.76195194511783,122.76195194511783,0.12522551196431136,-2235530.342199925,-620.9806506110903,-31769.90096917094,2356231.344901918,654.5087069171994,33485.22499333443
ok,0.97,0.03,100,0.5,1,1.2,0.3541964996416231,0.4250357995699477,9,4,5,17,18,0.49817526689681096,0.17320508075688773,5.486923765216971,50,50,21.251789978497385,71.25178997849738,121.25178997849738,71.25178997849738,69.77774111631143,69.77774111631143,0.9954455470003275,122.76195194511783,122.76195194511783,0.12522551196431136,-2263662.3114930284,-628.7950865258413,-31769.90096917094,2385882.2186077964,662.7450607243878,33485.22499333443
ok,0.97,0.03,100,0.5,1,1.25,0.3541964996416231,0.44274562455202887,9,3,6,17,18,0.49817526689681096,0.17320508075688773,5.486923765216971,50,50,22.137281227601445,72.13728122760145,122.13728122760145,72.13728122760145,69.77774111631143,69.77774111631143,0.9954455470003275,122.76195194511783,122.76195194511783,0.12522551196431136,-2291794.280786132,-636.6095224405922,-31769.90096917094,2415533.0923136743,670.9814145315762,33485.22499333443
ok,0.97,0.03,100,0.5,1,1.3,0.3541964996416231,0.46045544953411005,9,3,6,17,18,0.49817526689681096,0.17320508075688773,5.486923765216971,50,50,23.0227724767055,73.0227724767055,123.0227724767055,73.0227724767055,69.77774111631143,69.77774111631143,0.9954455470003275,122.76195194511783,122.76195194511783,0.12522551196431136,-2319926.250079235,-644.4239583553431,-31769.90096917094,2445183.966019552,679.2177683387645,33485.22499333443
ok,0.97,0.03,100,0.5,1,1.35,0.3541964996416231,0.4781652745161912,8,3,5,15,16,0.49817526689681096,0.17320508075688773,5.486923765216971,50,50,23.908263725809558,73.90826372580956,123.90826372580956,73.90826372580956,69.77774111631143,69.77774111631143,0.9954455470003275,122.76195194511783,122.76195194511783,0.12522551196431136,-2348058.2193723386,-652.2383942700941,-31769.90096917094,2474834.8397254306,687.454122145953,33485.22499333443
ok,0.97,0.03,100,0.5,1,1.4,0.3541964996416231,0.4958750994982723,8,3,5,15,16,0.49817526689681096,0.17320508075688773,5.486923765216971,50,50,24.793754974913615,74.79375497491361,124.79375497491361,74.79375497491361,69.77774111631143,69.77774111631143,0.9954455470003275,122.76195194511783,122.76195194511783,0.12522551196431136,-2376190.1886654417,-660.0528301848449,-31769.90096917094,2504485.7134313085,695.6904759531412,33485.22499333443
ok,0.97,0.03,100,0.5,1,1.45,0.3541964996416231,0.5135849244803534,8,3,5,15,16,0.49817526689681096,0.17320508075688773,5.486923765216971,50,50,25.67924622401767,75.67924622401767,125.67924622401767,75.67924622401767,69.77774111631143,69.77774111631143,0.9954455470003275,122.76195194511783,122.76195194511783,0.12522551196431136,-2404322.1579585453,-667.8672660995959,-31769.90096917094,2534136.587137187,703.9268297603297,33485.22499333443
ok,0.97,0.03,100,0.5,1,1.5,0.3541964996416231,0.5312947494624346,8,3,5,15,16,0.49817526689681096,0.17320508075688773,5.486923765216971,50,50,26.56473747312173,76.56473747312174,126.56473747312174,76.56473747312174,69.77774111631143,69.77774111631143,0.9954455470003275,122.76195194511783,122.76195194511783,0.12522551196431136,-2432454.127251649,-675.6817020143469,-31769.90096917094,2563787.4608430653,712.1631835675181,33485.22499333443
